x	y	Land_cover	cell_area
2.5	2.5	13	25
7.5	2.5	11	25
12.5	2.5	15	25
17.5	2.5	11	25
22.5	2.5	11	25
27.5	2.5	13	25
2.5	7.5	13	25
7.5	7.5	15	25
12.5	7.5	11	25
17.5	7.5	14	25
22.5	7.5	13	25
27.5	7.5	13	25
2.5	12.5	13	25
7.5	12.5	11	25
12.5	12.5	15	25
17.5	12.5	15	25
22.5	12.5	14	25
27.5	12.5	15	25
2.5	17.5	14	25
7.5	17.5	14	25
12.5	17.5	13	25
17.5	17.5	14	25
22.5	17.5	15	25
27.5	17.5	11	25
2.5	22.5	12	25
7.5	22.5	12	25
12.5	22.5	13	25
17.5	22.5	12	25
22.5	22.5	12	25
27.5	22.5	15	25
2.5	27.5	14	25
7.5	27.5	13	25
12.5	27.5	14	25
17.5	27.5	15	25
22.5	27.5	14	25
27.5	27.5	11	25
